county_name,state,nchs_urbanization,total_population,confirmed,confirmed_per_100000,deaths,deaths_per_100000
Lowndes,Alabama,Medium metro,10236,3251,31760.45,80,781.56
Ontario,New York,Large fringe metro,109472,25821,23586.85,212,193.66
Waukesha,Wisconsin,Large fringe metro,398879,137985,34593.2,1216,304.85
Escambia,Florida,Medium metro,311522,96194,30878.72,1452,466.1
Greenbrier,West Virginia,Non-core,35347,12633,35739.95,182,514.9
Frontier,Nebraska,Non-core,2609,611,23418.93,4,153.32
Giles,Tennessee,Non-core,29167,11303,38752.7,209,716.56
Franklin,North Carolina,Large fringe metro,64902,26015,40083.51,94,144.83
Rutherford,North Carolina,Micropolitan,66532,21220,31894.43,426,640.29
Columbia,Florida,Micropolitan,69105,25040,36234.72,458,662.76
Surry,Virginia,Non-core,6600,1390,21060.61,23,348.48
Ashland,Wisconsin,Non-core,15712,4092,26043.79,42,267.31
Coconino,Arizona,Small metro,140217,52308,37305.03,519,370.14
Treasure,Montana,Non-core,777,147,18918.92,1,128.7
Cannon,Tennessee,Large fringe metro,13976,5113,36584.14,76,543.79
Clay,Missouri,Large fringe metro,239164,33054,13820.64,407,170.18
Lorain,Ohio,Large fringe metro,306713,87472,28519.17,1047,341.36
Sherman,Texas,Non-core,3058,524,17135.38,16,523.22
Noble,Ohio,Non-core,14443,3862,26739.6,61,422.35
Nottoway,Virginia,Non-core,15500,5581,36006.45,101,651.61
McIntosh,Georgia,Small metro,14120,2807,19879.6,39,276.2
Judith Basin,Montana,Non-core,1951,280,14351.61,1,51.26
Hale,Texas,Micropolitan,34113,8305,24345.56,250,732.86
Boone,Missouri,Small metro,176515,52324,29642.81,293,165.99
San Jacinto,Texas,Non-core,27819,6617,23785.9,109,391.82
Mitchell,Kansas,Non-core,6222,1750,28126,26,417.87
McCreary,Kentucky,Non-core,17635,7604,43118.8,90,510.35
Dickenson,Virginia,Micropolitan,14960,4755,31784.76,65,434.49
Greene,Alabama,Non-core,8426,2240,26584.38,53,629.01
Todd,Minnesota,Non-core,24440,8311,34005.73,72,294.6
Luzerne,Pennsylvania,Medium metro,317884,92360,29054.62,1552,488.23
Covington,Virginia,Non-core,5582,1850,33142.24,30,537.44
Indiana,Pennsylvania,Micropolitan,85755,21493,25063.26,388,452.45
Stephens,Oklahoma,Micropolitan,43983,13060,29693.29,216,491.1
Brooks,Georgia,Small metro,15622,3991,25547.31,96,614.52
Floyd,Texas,Non-core,5872,2327,39628.75,50,851.5
Atchison,Missouri,Non-core,5270,1798,34117.65,24,455.41
Kimball,Nebraska,Non-core,3667,828,22579.77,16,436.32
Mason,Kentucky,Micropolitan,17153,6230,36320.18,115,670.44
Douglas,Missouri,Non-core,13374,3035,22693.29,86,643.04
Monona,Iowa,Non-core,8796,2050,23306.05,53,602.55
Carson,Texas,Medium metro,6032,1712,28381.96,38,629.97
Randolph,Indiana,Non-core,25076,6860,27356.84,162,646.04
St. Charles,Louisiana,Large fringe metro,52724,16796,31856.46,155,293.98
Washington,Kansas,Non-core,5525,1599,28941.18,27,488.69
Jenkins,Georgia,Non-core,8827,1724,19530.98,68,770.36
Jackson,Michigan,Small metro,158913,49773,31320.91,632,397.7
Buena Vista,Virginia,Non-core,6399,2241,35021.1,47,734.49
Towns,Georgia,Non-core,11417,3014,26399.23,125,1094.86
Coke,Texas,Non-core,3275,1061,32396.95,20,610.69
Ellis,Texas,Large fringe metro,168838,57157,33853.16,612,362.48
Hunt,Texas,Large fringe metro,92152,19466,21123.8,374,405.85
Henderson,North Carolina,Medium metro,113625,32491,28594.94,366,322.11
Howard,Arkansas,Non-core,13389,4604,34386.44,60,448.13
Hudson,New Jersey,Large central metro,668631,233624,34940.65,2837,424.3
Preston,West Virginia,Small metro,33837,10943,32340.34,145,428.52
Belmont,Ohio,Small metro,68472,18864,27549.95,330,481.95
Amite,Mississippi,Micropolitan,12468,3837,30774.78,70,561.44
Fairfield,Connecticut,Medium metro,944348,260498,27584.96,2931,310.37
Union,Pennsylvania,Micropolitan,45114,13384,29667.07,159,352.44
Bourbon,Kansas,Non-core,14702,5502,37423.48,64,435.31
Yuma,Arizona,Small metro,207829,70420,33883.63,1244,598.57
Clayton,Iowa,Non-core,17672,3986,22555.45,80,452.69
Union,Oregon,Micropolitan,26028,5787,22233.75,95,364.99
Kingsbury,South Dakota,Non-core,4967,1528,30763.04,27,543.59
Kidder,North Dakota,Non-core,2460,588,23902.44,13,528.46
Fayette,Texas,Non-core,25066,5434,21678.77,116,462.78
