Player,Pos,School,Ht,Wt,40yd,Vertical,Broad Jump,Drafted (tm/rnd/yr)
Myjai Sanders,EDGE,Cincinnati,77,228,4.67,33,120,Arizona Cardinals / 3rd / 100th pick / 2022
Keaontay Ingram,RB,USC,73,221,4.53,34.5,122,Arizona Cardinals / 6th / 201st pick / 2022
Jesse Luketa,LB,Penn St.,75,253,4.89,37.5,114,Arizona Cardinals / 7th / 256th pick / 2022
Marquis Hayes,OG,Oklahoma,77,318,5.3,23.5,102,Arizona Cardinals / 7th / 257th pick / 2022
Troy Andersen,LB,Montana St.,76,243,4.42,36,128,Atlanta Falcons / 2nd / 58th pick / 2022
Desmond Ridder,QB,Cincinnati,75,211,4.52,36,127,Atlanta Falcons / 3rd / 74th pick / 2022
Tyler Allgeier,RB,BYU,71,224,4.6,33,120,Atlanta Falcons / 5th / 151st pick / 2022
Justin Shaffer,OG,Georgia,76,314,5.14,25.5,107,Atlanta Falcons / 6th / 190th pick / 2022
Kyle Hamilton,S,Notre Dame,76,220,4.59,38,131,Baltimore Ravens / 1st / 14th pick / 2022
David Ojabo,EDGE,Michigan,76,250,4.55,35,122,Baltimore Ravens / 2nd / 45th pick / 2022
Travis Jones,DT,Connecticut,76,325,4.92,28.5,110,Baltimore Ravens / 3rd / 76th pick / 2022
Tyler Badie,RB,Missouri,68,197,4.45,33.5,121,Baltimore Ravens / 6th / 196th pick / 2022
James Cook,RB,Georgia,71,199,4.42,33,124,Buffalo Bills / 2nd / 63rd pick / 2022
Khalil Shakir,WR,Boise St.,73,196,4.43,34.5,124,Buffalo Bills / 5th / 148th pick / 2022
Matt Araiza,P,San Diego St.,73,200,4.68,32,121,Buffalo Bills / 6th / 180th pick / 2022
Luke Tenuta,OT,Virginia Tech,80,319,5.41,26,104,Buffalo Bills / 6th / 209th pick / 2022
Baylon Spector,LB,Clemson,73,233,4.6,36,122,Buffalo Bills / 7th / 231st pick / 2022
Ikem Ekwonu,OT,North Carolina St.,76,310,4.93,29,108,Carolina Panthers / 1st / 6th pick / 2022
Brandon Smith,LB,Penn St.,76,250,4.52,37.5,128,Carolina Panthers / 4th / 120th pick / 2022
Amaré Barno,EDGE,Virginia Tech,77,246,4.36,37,131,Carolina Panthers / 6th / 189th pick / 2022
Cade Mays,OG,Tennessee,77,311,5.24,26,102,Carolina Panthers / 6th / 199th pick / 2022
Jaquan Brisker,S,Penn St.,73,199,4.49,34.5,124,Chicago Bears / 2nd / 48th pick / 2022
Velus Jones,WR,Tennessee,73,204,4.31,33,121,Chicago Bears / 3rd / 71st pick / 2022
Braxton Jones,OT,Southern Utah St.,77,310,4.97,25.5,108,Chicago Bears / 5th / 168th pick / 2022
Dominique Robinson,EDGE,Miami (Ohio),77,253,4.72,41,121,Chicago Bears / 5th / 174th pick / 2022
Ja'Tyre Carter,OG,Southern,75,311,5.13,30,108,Chicago Bears / 7th / 226th pick / 2022
Daxton Hill,S,Michigan,73,191,4.38,33.5,121,Cincinnati Bengals / 1st / 31st pick / 2022
Zachary Carter,DE,Florida,76,282,4.99,27.5,110,Cincinnati Bengals / 3rd / 95th pick / 2022
Cordell Volson,OG,North Dakota St.,78,315,5.27,25,104,Cincinnati Bengals / 4th / 136th pick / 2022
Tycen Anderson,S,Toledo,74,209,4.36,35.5,123,Cincinnati Bengals / 5th / 166th pick / 2022
Jeffrey Gunter,EDGE,Coastal Carolina,76,258,4.7,35.5,122,Cincinnati Bengals / 7th / 252nd pick / 2022
David Bell,WR,Purdue,73,212,4.65,33,118,Cleveland Browns / 3rd / 99th pick / 2022
Jerome Ford,RB,Cincinnati,71,210,4.46,31,118,Cleveland Browns / 5th / 156th pick / 2022
Mike Woods,WR,Oklahoma,73,204,4.55,34.5,125,Cleveland Browns / 6th / 202nd pick / 2022
Isaiah Thomas,EDGE,Oklahoma,77,266,4.7,31.5,117,Cleveland Browns / 7th / 223rd pick / 2022
Dawson Deaton,C,Texas Tech,78,306,5.12,29,108,Cleveland Browns / 7th / 246th pick / 2022
Tyler Smith,OT,Tulsa,77,324,5.02,27.5,105,Dallas Cowboys / 1st / 24th pick / 2022
Sam Williams,EDGE,Mississippi,76,261,4.46,32.5,123,Dallas Cowboys / 2nd / 56th pick / 2022
Jalen Tolbert,WR,South Alabama,73,194,4.49,36,123,Dallas Cowboys / 3rd / 88th pick / 2022
Jake Ferguson,TE,Wisconsin,77,250,4.81,31.5,118,Dallas Cowboys / 4th / 129th pick / 2022
Matt Waletzko,OT,North Dakota,80,312,5.03,30,113,Dallas Cowboys / 5th / 155th pick / 2022
Damone Clark,LB,LSU,75,239,4.57,36.5,127,Dallas Cowboys / 5th / 176th pick / 2022
Nik Bonitto,EDGE,Oklahoma,75,248,4.54,35.5,120,Denver Broncos / 2nd / 64th pick / 2022
Greg Dulcich,TE,UCLA,76,243,4.69,34,122,Denver Broncos / 3rd / 80th pick / 2022
Luke Wattenberg,C,Washington,76,299,5.2,29.5,113,Denver Broncos / 5th / 171st pick / 2022
Aidan Hutchinson,DE,Michigan,79,260,4.74,36,117,Detroit Lions / 1st / 2nd pick / 2022
Joshua Paschal,DE,Kentucky,75,268,4.77,37.5,123,Detroit Lions / 2nd / 46th pick / 2022
Malcolm Rodriguez,LB,Oklahoma St.,71,232,4.52,39.5,120,Detroit Lions / 6th / 188th pick / 2022
Chase Lucas,CB,Arizona St.,71,180,4.48,39,128,Detroit Lions / 7th / 237th pick / 2022
Quay Walker,LB,Georgia,76,241,4.52,32,122,Green Bay Packers / 1st / 22nd pick / 2022
Devonte Wyatt,DT,Georgia,75,304,4.77,29,111,Green Bay Packers / 1st / 28th pick / 2022
Christian Watson,WR,North Dakota St.,76,208,4.36,38.5,136,Green Bay Packers / 2nd / 34th pick / 2022
Sean Rhyan,OG,UCLA,77,321,5.25,33.5,110,Green Bay Packers / 3rd / 92nd pick / 2022
Zach Tom,C,Wake Forest,76,304,4.94,33,118,Green Bay Packers / 4th / 140th pick / 2022
Kingsley Enagbare,DE,South Carolina,76,258,4.87,36.5,117,Green Bay Packers / 5th / 179th pick / 2022
Kenyon Green,OG,Texas A&M,76,323,5.24,26,102,Houston Texans / 1st / 15th pick / 2022
Christian Harris,LB,Alabama,73,226,4.44,34.5,132,Houston Texans / 3rd / 75th pick / 2022
Dameon Pierce,RB,Florida,70,218,4.59,34.5,119,Houston Texans / 4th / 107th pick / 2022
Austin Deculus,OT,LSU,77,321,5.08,28.5,109,Houston Texans / 6th / 205th pick / 2022
Alec Pierce,WR,Cincinnati,75,211,4.41,40.5,129,Indianapolis Colts / 2nd / 53rd pick / 2022
Bernhard Raimann,OT,Central Michigan,78,303,5.05,30.5,117,Indianapolis Colts / 3rd / 77th pick / 2022
Nick Cross,S,Maryland,73,212,4.34,37,130,Indianapolis Colts / 3rd / 96th pick / 2022
Travon Walker,DE,Georgia,77,272,4.51,35.5,123,Jacksonville Jaguars / 1st / 1st pick / 2022
Devin Lloyd,LB,Utah,75,237,4.66,35,126,Jacksonville Jaguars / 1st / 27th pick / 2022
Luke Fortner,C,Kentucky,76,307,5.21,24,102,Jacksonville Jaguars / 3rd / 65th pick / 2022
Chad Muma,LB,Wyoming,75,239,4.63,40,129,Jacksonville Jaguars / 3rd / 70th pick / 2022
Snoop Conner,RB,Mississippi,70,222,4.59,29.5,118,Jacksonville Jaguars / 5th / 154th pick / 2022
Skyy Moore,WR,Western Michigan,70,195,4.41,34.5,125,Kansas City Chiefs / 2nd / 54th pick / 2022
Leo Chenal,LB,Wisconsin,75,250,4.53,40.5,128,Kansas City Chiefs / 3rd / 103rd pick / 2022
Joshua Williams,CB,Fayetteville St. University,75,195,4.53,36,124,Kansas City Chiefs / 4th / 135th pick / 2022
Darian Kinnard,OG,Kentucky,77,322,5.31,25,99,Kansas City Chiefs / 5th / 145th pick / 2022
Isiah Pacheco,RB,Rutgers,70,216,4.37,33,118,Kansas City Chiefs / 7th / 251st pick / 2022
Dylan Parham,OG,Memphis,75,311,4.93,26.5,108,Las Vegas Raiders / 3rd / 90th pick / 2022
Zamir White,RB,Georgia,73,214,4.4,33.5,128,Las Vegas Raiders / 4th / 122nd pick / 2022
Matthew Butler,DT,Tennessee,76,297,5,32,112,Las Vegas Raiders / 5th / 175th pick / 2022
Thayer Munford,OT,Ohio St.,78,328,5.39,22,104,Las Vegas Raiders / 7th / 238th pick / 2022
Zion Johnson,OG,Boston Col.,75,312,5.18,32,112,Los Angeles Chargers / 1st / 17th pick / 2022
JT Woods,S,Baylor,74,195,4.36,39.5,128,Los Angeles Chargers / 3rd / 79th pick / 2022
Logan Bruss,OG,Wisconsin,77,309,5.32,31,112,Los Angeles Rams / 3rd / 104th pick / 2022
Kyren Williams,RB,Notre Dame,69,194,4.65,32,116,Los Angeles Rams / 5th / 164th pick / 2022
Channing Tindall,LB,Georgia,74,230,4.47,42,129,Miami Dolphins / 3rd / 102nd pick / 2022
Skylar Thompson,QB,Kansas St.,74,217,4.91,31,112,Miami Dolphins / 7th / 247th pick / 2022
Lewis Cine,S,Georgia,74,199,4.37,36.5,133,Minnesota Vikings / 1st / 32nd pick / 2022
Ed Ingram,OG,LSU,75,307,5.02,20.5,102,Minnesota Vikings / 2nd / 59th pick / 2022
Brian Asamoah,LB,Oklahoma,73,226,4.56,36.5,124,Minnesota Vikings / 3rd / 66th pick / 2022
Akayleb Evans,CB,Missouri,74,197,4.46,36,129,Minnesota Vikings / 4th / 118th pick / 2022
Tykevious Chandler,RB,North Carolina,71,204,4.38,31,121,Minnesota Vikings / 5th / 169th pick / 2022
Vederian Lowe,OT,Illinois,77,314,5.22,25.5,99,Minnesota Vikings / 6th / 184th pick / 2022
